,Date,Close/Last,Volume,Open,High,Low
248,1/4/2021,8.52,85043080,$8.81 ,$8.84 ,$8.43 
247,1/5/2021,8.65,70127790,$8.47 ,$8.72 ,$8.46 
246,1/6/2021,8.84,72590210,$8.79 ,$8.94 ,$8.68 
245,1/7/2021,9.06,77117100,$8.94 ,$9.08 ,$8.88 
244,1/8/2021,9,59162170,$9.10 ,$9.14 ,$8.89 
243,1/11/2021,9.3,96129540,$8.87 ,$9.32 ,$8.82 
242,1/12/2021,9.78,124808500,$9.30 ,$9.82 ,$9.29 
241,1/13/2021,9.78,89549250,$9.91 ,$9.92 ,$9.64 
240,1/14/2021,10.17,112695300,$9.81 ,$10.20 ,$9.79 
239,1/15/2021,9.83,99984950,$10.04 ,$10.05 ,$9.82 
238,1/19/2021,10.02,78732760,$10.06 ,$10.21 ,$9.97 
237,1/20/2021,10.86,125033200,$10.23 ,$10.87 ,$10.19 
236,1/21/2021,11.53,282761600,$11.28 ,$12.15 ,$11.12 
235,1/22/2021,11.52,130866600,$11.66 ,$11.69 ,$11.34 
234,1/25/2021,11.29,118954500,$11.49 ,$11.52 ,$10.88 
233,1/26/2021,11.19,66267460,$11.31 ,$11.53 ,$11.12 
232,1/27/2021,10.79,82863030,$11.02 ,$11.17 ,$10.70 
231,1/28/2021,10.72,77388660,$10.84 ,$11.05 ,$10.71 
230,1/29/2021,10.53,73925820,$10.59 ,$10.84 ,$10.45 
229,2/1/2021,10.83,157114400,$10.65 ,$11.44 ,$10.36 
228,2/2/2021,10.86,80440700,$11.14 ,$11.20 ,$10.71 
227,2/3/2021,11.2,82968550,$10.92 ,$11.36 ,$10.84 
226,2/4/2021,11.37,106845000,$11.40 ,$11.62 ,$11.17 
225,2/5/2021,11.51,113402100,$11.80 ,$11.90 ,$11.30 
224,2/8/2021,11.56,75756690,$11.52 ,$11.58 ,$11.31 
223,2/9/2021,11.93,102250800,$11.54 ,$12.04 ,$11.49 
222,2/10/2021,11.76,76282460,$12 ,$12.02 ,$11.53 
221,2/11/2021,11.45,55762910,$11.66 ,$11.74 ,$11.31 
220,2/12/2021,11.45,44401190,$11.42 ,$11.62 ,$11.37 
219,2/16/2021,11.54,48392080,$11.50 ,$11.70 ,$11.38 
218,2/17/2021,11.48,49681000,$11.61 ,$11.61 ,$11.37 
217,2/18/2021,11.43,37777050,$11.37 ,$11.48 ,$11.30 
216,2/19/2021,11.58,48615550,$11.52 ,$11.59 ,$11.46 
215,2/22/2021,11.7,62183010,$11.52 ,$11.94 ,$11.50 
214,2/23/2021,11.62,72904530,$11.59 ,$11.65 ,$11.13 
213,2/24/2021,12.27,95152780,$11.67 ,$12.40 ,$11.64 
212,2/25/2021,11.76,75249410,$12.22 ,$12.40 ,$11.72 
211,2/26/2021,11.7,69614530,$11.89 ,$11.98 ,$11.54 
210,3/1/2021,11.98,43172810,$11.87 ,$12.08 ,$11.78 
209,3/2/2021,12.55,104789000,$12.04 ,$12.80 ,$11.94 
208,3/3/2021,12.17,80169700,$12.61 ,$12.61 ,$12.14 
207,3/4/2021,11.93,88339640,$12.24 ,$12.46 ,$11.63 
